Image,Label
3634,602378
3635,271236
3636,66009
3637,61474310
3638,1070715
3639,92715
3640,3024
3641,35328
3642,23226
3643,17886
3644,5116931
3645,96
3646,24131111
3647,9991111
3648,74611364
3649,695412
3650,61950
3651,8238
3652,866632
3653,1086174
3654,36218
3655,288564
3656,4740832
3657,269850
3658,8572
3659,34264
3660,8841417
3661,66715
3662,16791
3663,40141
3664,26139
3665,16427831
3666,8726
3667,398316
3668,13685
3669,90053
3670,100089
3671,1231712
3672,123713
3673,37931
3674,533962
3675,4160181
3676,65803
3677,19455
3678,7318
3679,28083
3680,811172
3681,1825
3682,9967
3683,056039511
3684,4931174
3685,67950
3686,19122
3687,314445
3688,422
3689,96099
3690,67408
3691,8157
3692,52582
3693,79835
3694,2601175
3695,736
3696,9603
3697,716736
3698,44885316
3699,2335
3700,1854755
3701,386611
3702,142932
3703,6261
3704,147773
3705,0944544
3706,8752
3707,5111106
3708,8522714
3709,125072
3710,117107
3711,7116911
3712,851114
3713,9605
3714,28082
3715,194180
3716,319985
3717,706635
3718,7062
3719,283074
3720,188524
3721,530131
3722,44298
3723,410000
3724,31344
3725,351154
3726,5571714
3727,71715330
3728,71313667
3729,39995
3730,1752274
3731,643147
3732,10042
3733,20983
3734,27894
3735,1750
3736,313111631
3737,316858585
3738,002491
3739,6863
3740,3991885
3741,1191811
3742,2231311
3743,612504
3744,231727
3745,7437
3746,143121415
3747,741111111
3748,166026
3749,3107
3750,6763
3751,8866
3752,313845
3753,563153
3754,633166
3755,710031
3756,43195
3757,056433
3758,429811
3759,618825
3760,96305
3761,1085876
3762,37390
3763,7131882
3764,75030
3765,0544800
3766,5783171
3767,9674674
3768,66123
3769,3415
3770,7222
3771,9181
3772,14396358
3773,31443
3774,7444
3775,7171897
3776,74182
3777,135006
3778,50830
3779,71653
3780,9194
3781,26419
3782,28874
3783,1134115
3784,9436
3785,6431718
3786,97351
3787,3148536374
3788,54043
3789,5993671
3790,30370
3791,133343832
3792,10549
3793,0174708
3794,27501
3795,99711
3796,4502
3797,45021
3798,48761
3799,35853
3800,615934
3801,2716
3802,19265
3803,13090
3804,619814
3805,431136
3806,6184160
3807,47845
3808,203316
3809,185835
3810,22101
3811,3252356
3812,56779
3813,5112715
3814,55275
3815,266422444
3816,14784475
3817,325244
3818,863163
